2026-04-08 06:25:22 | INFO | kuairand_rec.train_rank | Rank inference metrics summary: {'val': {'num_candidates': 50000, 'num_users': 500, 'positive_any': 223, 'long_watch_auc': 0.5710741206228208, 'long_watch_logloss': 0.38926430798958334, 'finish_auc': 0.619287323087209, 'finish_logloss': 0.09802426435109145, 'like_auc': 0.5978808461756073, 'like_logloss': 0.004267710881067771, 'rank_auc': 0.5687429162765486, 'ndcg@10': 0.023398844716968684, 'ndcg@20': 0.02960608192349196, 'mrr@10': 0.01948809523809524}, 'test': {'num_candidates': 50000, 'num_users': 500, 'positive_any': 316, 'long_watch_auc': 0.5801768026061006, 'long_watch_logloss': 0.4055154072736536, 'finish_auc': 0.6614899781379406, 'finish_logloss': 0.11817800752359171, 'like_auc': 0.7491048030566724, 'like_logloss': 0.00640805831469866, 'rank_auc': 0.5757879354482354, 'ndcg@10': 0.036060369591086855, 'ndcg@20': 0.04737622684494368, 'mrr@10': 0.0341515873015873}}
2026-04-08 06:25:49 | INFO | kuairand_rec.train_rank | Training DIN-style multi-task ranker.
2026-04-08 06:27:57 | INFO | kuairand_rec.train_rank | Prepared rank datasets: train=(14370, 84) val=(1611, 84) features_numeric=64 other_cats=10
2026-04-08 06:28:00 | INFO | kuairand_rec.train_rank | Training DIN ranker on device=cuda train_rows=14370 val_rows=1611 numeric=64 other_cats=10
2026-04-08 06:28:01 | INFO | kuairand_rec.train_rank | DIN rank epoch 1/1 train_loss=1.549155 val_metrics={'loss': 0.5773833990097046, 'long_watch_auc': 0.49723791392278643, 'long_watch_logloss': 0.35534761150281313, 'finish_auc': 0.5751048417842166, 'finish_logloss': 0.2110796260603639, 'like_auc': 0.5592868988391376, 'like_logloss': 0.04431009800192253, 'rank_auc': 0.49414812271776787}
2026-04-08 06:28:01 | INFO | kuairand_rec.train_rank | Saved rank checkpoint: /scratch/ym3447/Rec/artifacts/rank_smoke/best_model.pt
2026-04-08 06:28:01 | INFO | kuairand_rec.train_rank | Saved rank train metrics: /scratch/ym3447/Rec/artifacts/metrics/rank_metrics_smoke.json
2026-04-08 06:28:01 | INFO | kuairand_rec.train_rank | Rank training metrics summary: {'train_rows': 14370, 'val_rows': 1611, 'train_positive_any': 3059, 'val_positive_any': 179, 'best': {'epoch': 1, 'train_loss': 1.549154832959175, 'loss': 0.5773833990097046, 'long_watch_auc': 0.49723791392278643, 'long_watch_logloss': 0.35534761150281313, 'finish_auc': 0.5751048417842166, 'finish_logloss': 0.2110796260603639, 'like_auc': 0.5592868988391376, 'like_logloss': 0.04431009800192253, 'rank_auc': 0.49414812271776787}}
2026-04-08 06:28:01 | INFO | kuairand_rec.train_rank | Generating ranked candidates for splits=['val']
2026-04-08 06:29:25 | INFO | kuairand_rec.train_rank | Ranked val chunk 1 rows=20000 device=cuda
